iter	Passed	Remaining
0	47	37579
1	97	39038
2	136	36347
3	173	34568
4	214	34102
5	260	34415
6	308	34901
7	343	33999
8	381	33536
9	426	33679
10	470	33763
11	524	34469
12	573	34703
13	623	34997
14	672	35177
15	722	35384
16	773	35632
17	822	35720
18	854	35127
19	902	35196
20	948	35190
21	992	35106
22	1043	35265
23	1103	35673
24	1158	35922
25	1223	36419
26	1282	36728
27	1339	36930
28	1392	37018
29	1444	37077
30	1497	37141
31	1557	37386
32	1603	37260
33	1638	36917
34	1685	36849
35	1737	36871
36	1782	36765
37	1834	36789
38	1883	36757
39	1933	36738
40	1984	36737
41	2026	36581
42	2071	36473
43	2122	36474
44	2163	36297
45	2209	36218
46	2253	36111
47	2296	35973
48	2336	35813
49	2381	35716
50	2424	35610
51	2473	35573
52	2518	35495
53	2564	35425
54	2606	35299
55	2651	35231
56	2701	35219
57	2745	35126
58	2789	35032
59	2825	34848
60	2880	34895
61	2933	34921
62	2972	34770
63	3011	34629
64	3053	34533
65	3098	34459
66	3142	34381
67	3190	34346
68	3231	34238
69	3273	34142
70	3307	33961
71	3362	33999
72	3414	34000
73	3494	34281
74	3610	34898
75	3688	35137
76	3791	35599
77	3856	35694
78	3897	35574
79	3940	35460
80	3975	35292
81	4010	35119
82	4046	34959
83	4092	34883
84	4135	34788
85	4166	34589
86	4199	34413
87	4230	34227
88	4261	34041
89	4290	33849
90	4332	33753
91	4368	33621
92	4405	33489
93	4435	33313
94	4464	33129
95	4491	32936
96	4521	32767
97	4562	32685
98	4616	32691
99	4665	32655
100	4709	32596
101	4760	32577
102	4802	32497
103	4846	32434
104	4886	32341
105	4930	32282
106	4976	32229
107	5013	32125
108	5055	32046
109	5095	31960
110	5136	31881
111	5170	31760
112	5197	31598
113	5227	31455
114	5263	31349
115	5297	31236
116	5330	31116
117	5365	31011
118	5399	30896
119	5434	30794
120	5466	30676
121	5502	30578
122	5549	30544
123	5577	30405
124	5615	30323
125	5660	30279
126	5708	30253
127	5756	30223
128	5809	30217
129	5838	30091
130	5876	30008
131	5905	29883
132	5934	29761
133	5966	29655
134	5996	29536
135	6037	29478
136	6071	29384
137	6105	29287
138	6138	29190
139	6171	29093
140	6209	29023
141	6243	28933
142	6276	28836
143	6312	28755
144	6349	28683
145	6379	28575
146	6410	28476
147	6447	28405
148	6482	28320
